county,make,model_year,vehicle_count
Snohomish,AUDI,2018,23
Snohomish,AUDI,2019,80
Snohomish,AUDI,2020,44
Snohomish,AUDI,2021,60
Snohomish,AZURE DYNAMICS,2011,4
Snohomish,BENTLEY,2020,2
Snohomish,BMW,2014,418
Snohomish,BMW,2015,289
Snohomish,BMW,2016,263
Snohomish,BMW,2017,323
Snohomish,BMW,2018,234
Snohomish,BMW,2019,48
Snohomish,BMW,2020,9
Snohomish,BMW,2021,42
Snohomish,BUBBLE BUDDY,2018,6
Snohomish,CADILLAC,2014,82
Snohomish,CADILLAC,2016,23
Snohomish,CADILLAC,2017,2
Snohomish,CADILLAC,2018,2
Snohomish,CHEVROLET,2011,89
Snohomish,CHEVROLET,2012,694
Snohomish,CHEVROLET,2013,1000
Snohomish,CHEVROLET,2014,834
Snohomish,CHEVROLET,2015,358
Snohomish,CHEVROLET,2016,127
Snohomish,CHEVROLET,2017,1587
Snohomish,CHEVROLET,2018,549
Snohomish,CHEVROLET,2019,437
Snohomish,CHEVROLET,2020,266
Snohomish,CHEVROLET,2021,28
Snohomish,CHRYSLER,2017,51
Snohomish,CHRYSLER,2018,323
Snohomish,CHRYSLER,2019,54
Snohomish,CHRYSLER,2020,104
Snohomish,CHRYSLER,2021,56
Snohomish,FIAT,2013,47
Snohomish,FIAT,2014,35
Snohomish,FIAT,2015,138
Snohomish,FIAT,2016,43
Snohomish,FIAT,2017,28
Snohomish,FIAT,2019,1
Snohomish,FISKER,2012,27
Snohomish,FORD,1999,7
Snohomish,FORD,2000,4
Snohomish,FORD,2012,29
Snohomish,FORD,2013,1071
Snohomish,FORD,2014,766
Snohomish,FORD,2015,569
Snohomish,FORD,2016,762
Snohomish,FORD,2017,581
Snohomish,FORD,2018,108
Snohomish,FORD,2019,65
Snohomish,FORD,2020,32
Snohomish,FORD,2021,133
Snohomish,HONDA,2014,14
Snohomish,HONDA,2018,255
Snohomish,HONDA,2019,14
Snohomish,HONDA,2020,20
Snohomish,HONDA,2021,2
Snohomish,HYUNDAI,2016,645
Snohomish,HYUNDAI,2017,32
Snohomish,HYUNDAI,2018,9
Snohomish,HYUNDAI,2019,23
Snohomish,HYUNDAI,2020,47
Snohomish,HYUNDAI,2021,30
Snohomish,JAGUAR,2019,36
