county,make,quartile,model_year,vehicle_count
Clark,TESLA,3,2017,116
Clark,TESLA,3,2018,353
Clark,TESLA,3,2019,234
Clark,TESLA,3,2020,258
Clark,TESLA,4,2010,2
Clark,TESLA,4,2012,16
Clark,TESLA,4,2013,97
Clark,TESLA,4,2014,52
Clark,TESLA,4,2015,49
Clark,TESLA,4,2016,149
Clark,TESLA,4,2017,130
Clark,TESLA,4,2018,589
Clark,TESLA,4,2019,159
Clark,TESLA,4,2020,248
Clark,TESLA,4,2021,80
Clark,TH!NK,2,2011,1
Clark,TH!NK,3,2011,9
Clark,TH!NK,4,2011,7
Clark,TOYOTA,1,2012,61
Clark,TOYOTA,1,2013,20
Clark,TOYOTA,1,2014,15
Clark,TOYOTA,1,2015,9
Clark,TOYOTA,1,2017,108
Clark,TOYOTA,1,2018,28
Clark,TOYOTA,1,2019,10
Clark,TOYOTA,1,2020,14
Clark,TOYOTA,1,2021,25
Clark,TOYOTA,2,2012,82
Clark,TOYOTA,2,2013,28
Clark,TOYOTA,2,2014,4
Clark,TOYOTA,2,2015,1
Clark,TOYOTA,2,2017,101
Clark,TOYOTA,2,2018,20
Clark,TOYOTA,2,2019,16
Clark,TOYOTA,2,2020,9
Clark,TOYOTA,2,2021,36
Clark,TOYOTA,3,2012,80
Clark,TOYOTA,3,2013,37
Clark,TOYOTA,3,2014,22
Clark,TOYOTA,3,2015,14
Clark,TOYOTA,3,2017,74
Clark,TOYOTA,3,2018,43
Clark,TOYOTA,3,2019,24
Clark,TOYOTA,3,2020,22
Clark,TOYOTA,3,2021,4
Clark,TOYOTA,4,2012,71
Clark,TOYOTA,4,2013,51
Clark,TOYOTA,4,2014,18
Clark,TOYOTA,4,2015,7
Clark,TOYOTA,4,2017,81
Clark,TOYOTA,4,2018,51
Clark,TOYOTA,4,2019,7
Clark,TOYOTA,4,2020,48
Clark,TOYOTA,4,2021,18
Clark,VOLKSWAGEN,1,2015,7
Clark,VOLKSWAGEN,1,2016,35
Clark,VOLKSWAGEN,1,2017,1
Clark,VOLKSWAGEN,1,2019,10
Clark,VOLKSWAGEN,2,2015,42
Clark,VOLKSWAGEN,2,2016,21
Clark,VOLKSWAGEN,2,2017,8
Clark,VOLKSWAGEN,2,2019,9
Clark,VOLKSWAGEN,2,2021,8
Clark,VOLKSWAGEN,3,2015,12
Clark,VOLKSWAGEN,3,2016,40
Clark,VOLKSWAGEN,3,2019,28
Clark,VOLKSWAGEN,4,2015,1
Clark,VOLKSWAGEN,4,2016,39
Clark,VOLKSWAGEN,4,2017,10
Clark,VOLKSWAGEN,4,2019,14
Clark,VOLVO,1,2016,9
Clark,VOLVO,1,2017,13
Clark,VOLVO,1,2018,17
Clark,VOLVO,1,2019,3
Clark,VOLVO,2,2016,4
Clark,VOLVO,2,2017,7
Clark,VOLVO,2,2018,6
Clark,VOLVO,2,2019,4
Clark,VOLVO,2,2021,2
Clark,VOLVO,3,2016,3
Clark,VOLVO,3,2017,4
Clark,VOLVO,3,2018,4
Clark,VOLVO,3,2019,6
Clark,VOLVO,4,2017,11
Clark,VOLVO,4,2018,9
Clark,VOLVO,4,2019,8
Island,AUDI,1,2016,5
Island,AUDI,1,2017,2
Island,AUDI,1,2019,3
Island,AUDI,2,2016,2
Island,AUDI,2,2017,6
Island,AUDI,2,2018,2
Island,AUDI,2,2020,2
Island,AUDI,2,2021,6
Island,AUDI,3,2017,4
Island,AUDI,3,2018,2
Island,AUDI,3,2019,6
Island,AUDI,4,2017,4
